"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"43",0.0660502661130647,0.0529879238360692,0.039328541333927,0.0507083267621426,0.0270249269519543,0.0617557161608653,0.0404893062367315,0.0732620945225212,0.0280819687338912,0,0.0533069818628207,0.101004234272674,0.0555766869606739,0.021509701208761,0.0440265190637586,0.0481787626200895,0,0.0663356659197933,0.0522443686380628,0.0149041906104807,0.034096593377416,0.069052610814617
"45",0.0658903548811023,0.0528838205911363,0.0405731560832047,0.0515779098270569,0.0257052387184837,0.063413558130329,0.0412223588403529,0.0710923097324146,0.0283420200149698,0,0.0550056862385788,0.100781935288834,0.0576755567992646,0.0219133821735558,0.0443981060985693,0.0453374885077948,0,0.0647565837976051,0.0521388246823645,0.0142514034404033,0.0340262252758755,0.0690128510755058
"46",0.0653295747672268,0.0531812295960262,0.0403724189331597,0.050750776285786,0.0269282149748547,0.0629278727120514,0.041158486376481,0.0701603606871331,0.0299451745330023,0,0.0548034223271525,0.100449949906397,0.057967441248483,0.0216589401277019,0.0447977055010435,0.0445346181665809,0,0.0654032395313953,0.052276120317701,0.0142120504882433,0.034361810256124,0.0687119016150984
"47",0.0648371443305145,0.0524517102086275,0.0404731419345225,0.0509977644133821,0.0263712388683571,0.0631189091918302,0.0406215790838301,0.0699053091289075,0.0290187933102728,0,0.0551870836868572,0.0991816409554444,0.0580832944502432,0.0215986483943525,0.0443391856610382,0.0446481150475817,0,0.0651912701761186,0.0525163602578335,0.0142227935856195,0.0340747359263375,0.06895919216382
"49",0.06629850543485,0.0529150760059871,0.0396654455950289,0.0514790257823383,0.0253490227819382,0.0618708436801095,0.0411903518286617,0.0725073486923595,0.028072438685732,0,0.0533861985184789,0.101980747245343,0.0549209422092622,0.0215936246316987,0.0445435248521216,0.0467416783279928,0,0.0664145261540525,0.0525726279187967,0.0146172566232195,0.03386338499068,0.0700066867582787
"50",0.0664271644466703,0.0539171750321185,0.039969699009844,0.0514683852718286,0.026221660523263,0.0628831341257744,0.0410218363500084,0.0706816766393175,0.0292691667372433,0,0.0542486158796101,0.100765030299372,0.0573632510742848,0.0218142773256676,0.0447948896597046,0.0449419295561057,0,0.0648375737028894,0.0515563494982565,0.0142435356571974,0.034327249433765,0.0692484069923051
"51",0.0660455886063405,0.0530664808809151,0.0399940944666483,0.0514805424670107,0.0252060007933734,0.0623078417068183,0.0411491419227466,0.0718716033817471,0.0277061341264861,0,0.0536655496195177,0.101794822401953,0.0557523675626761,0.021677038561151,0.0446350041821881,0.0464765282652398,0,0.0661239955682613,0.052618913194347,0.0144846585926981,0.0338347229376578,0.0700994740022516
"53",0.0654009238582106,0.0525619728235118,0.0398811457732214,0.0515454996118861,0.025036576768008,0.0621000399103404,0.0407356655244673,0.0702525668970929,0.0276585634702366,0,0.053805796595793,0.101639698462948,0.0553784686589933,0.0216031830424784,0.0442259411666223,0.0455758661957539,0,0.0659173086974935,0.052630887149262,0.0144515725282923,0.034039230623777,0.0699730452768641
"54",0.0647386025656674,0.0528650853900887,0.0394817328164817,0.0505322525149997,0.0268567334430287,0.0619091016823934,0.041233164719602,0.0691440477191145,0.0297016487126477,0,0.0536904722590001,0.100754984161818,0.057293323965388,0.0213864060576415,0.0448680216086976,0.0443710908750741,0,0.0665283757872427,0.0523520448855142,0.0140423037783726,0.0340164435422253,0.0686950434271828
"55",0.0659910407597733,0.0530079533659437,0.0400216691720257,0.051727153768564,0.0251753072599693,0.0623066504003462,0.0409105664588331,0.0708978278247171,0.0279329599299488,0,0.0537823294257841,0.102256535466787,0.0553618236879663,0.0217742249898716,0.044444718773901,0.0457630598445798,0,0.0660868763137269,0.0526541641181115,0.0144491194606621,0.0340326303015855,0.0704284211848635
"57",0.0659019972672037,0.0533908619917992,0.0385537141154816,0.0506778735899105,0.0259985096820997,0.0606994348994345,0.0401339661779349,0.0732518749824222,0.0282207734431058,0,0.0540449074176008,0.100709037756133,0.0549311010692535,0.0215900455680254,0.0447442343270028,0.0467110537495392,0,0.0657128565551338,0.0516626246973719,0.0149439809829225,0.0341652694708696,0.0698787827768778
"58",0.0667883746684758,0.0534219583418098,0.0390536232415855,0.0503649884258152,0.0268890785372648,0.0605345950847631,0.0403339626437525,0.0733315534709605,0.0283315946852699,0,0.0522625450113379,0.10065822177752,0.0550051181166145,0.0211758518770597,0.0437161866110834,0.0480826154847739,0,0.066559582663505,0.0521550198414611,0.0148146394728178,0.0335847363349525,0.0686427516451318
"59",0.0654778881306671,0.0520889579667018,0.0401235108355727,0.0517333895758619,0.0255492458525782,0.0622007968013445,0.0413190007676381,0.0723949099372944,0.0278199928972587,0,0.0544197835076303,0.101825383399591,0.0555868810489683,0.0218145216819548,0.0448680429785049,0.0465015427996388,0,0.065825571861498,0.0524907416253801,0.0146362859435767,0.0340810024234078,0.0692406827769765
"60",0.0652239701275334,0.052536701201454,0.0406176039516329,0.0508237016983347,0.0268073522921783,0.0630663396867566,0.0409354430720523,0.0701552106667519,0.0296489528877656,0,0.055420477201165,0.100080711157133,0.0585121953570141,0.0218353045705951,0.0447555013716693,0.0445967062374122,0,0.0655116577726054,0.0521881140292158,0.0142065155802077,0.0343922368407253,0.0685168560571903
"61",0.0672021712994915,0.0536427782835564,0.0393366295885442,0.0515306290412113,0.0256789446576309,0.0621364357972582,0.0411622382729601,0.0720724273067077,0.0283742978666403,0,0.0537550448458914,0.101517767229114,0.0563627960977276,0.0217484694501467,0.0442856375458473,0.0459218866061975,0,0.0649754331442487,0.0520592805023494,0.0143130798280159,0.0338826587184674,0.0700411065081669
"62",0.0658214917154478,0.0539697629677923,0.0395360215960577,0.0512733036298951,0.0250571765434018,0.0613919933052692,0.039056320350186,0.0747463203832571,0.0269197334013673,0,0.054664374474981,0.100351921274313,0.0558716465257796,0.0216529164883137,0.0448220321271482,0.0470951415578839,0,0.0659001335780658,0.0521166992851707,0.0151105388336899,0.03418231771387,0.0704033710543844
"63",0.0670644836405195,0.0535624511279556,0.0383669761459072,0.0505158173514294,0.0254368322493415,0.060612545836467,0.0402967763449084,0.072622302148826,0.0283171972053818,0,0.0535130637259986,0.10056218850616,0.0552055433532923,0.021741814124548,0.0445275127092417,0.046564322873766,0,0.0655650982232912,0.0511834651051962,0.01483784620017,0.034134746507577,0.0706147302977054
"65",0.0654412365704443,0.0530863791754821,0.0389450405323888,0.0503734074005826,0.026367916856227,0.0610077224750986,0.0407305713071067,0.072887657371718,0.029153660634342,0,0.0546363826965476,0.100917417484361,0.0565378947970055,0.0218225818542438,0.0452011259226086,0.0462060617635301,0,0.0658125212850474,0.0518169583237443,0.0148977155514843,0.0346090590269632,0.0695202468797861
"67",0.0654277454381786,0.0527247984269398,0.0404527800002134,0.0510964606490465,0.0261506532501034,0.0629541027818601,0.0409571562548345,0.0701478110952936,0.0292052415376097,0,0.0550816076936999,0.100087647332328,0.058030004183556,0.0217590611100239,0.0443668288187044,0.0447561398998678,0,0.0651806715933846,0.052311214351614,0.0142535945940841,0.0342831217607156,0.0687497368570273
