,SpeciesUID,A,R,N,D,C,E,Q,G,H,O,I,L,K,M,F,P,U,S,T,W,Y,V
11,23,-0.016527878002683,-0.137495848198223,-0.380258584773037,-0.169494866471164,-0.815642277459097,0.0320499349621262,-0.361525231262151,0.0252920322749559,-0.795594271038849,0,-0.124504091555937,0.478165122701238,-0.0390744978698963,-0.944088309314666,-0.335213172703626,-0.358716470014545,0,0.172412111609077,-0.129999954159955,-1.5004071389288,-0.612303451551689,0.0912568282457884
12,25,0.0847876079158008,-0.119360486650238,-0.455178027412479,-0.20779147799096,-0.864523234566603,0.0568914462963388,-0.336587033187237,0.0626358221288634,-0.835176334756536,0,-0.170503798369461,0.529203163282943,-0.0821969537123244,-1.02482738871394,-0.348688138300354,-0.247129710138053,0,0.112501148652504,-0.170335969948212,-1.46524090359991,-0.612063926711244,0.086657889334584
13,28,0.0514187280855802,-0.133783033964273,-0.434780017806658,-0.248633337207504,-0.844890007251023,0.0413023691615195,-0.391509158821794,0.0402628579161202,-0.843683433938663,0,-0.0952794193281772,0.519469093001361,-0.0790696280515433,-1.00599728007971,-0.31771430609927,-0.279794380748155,0,0.10474358283699,-0.157329169912505,-1.50087436334697,-0.618211636310047,0.080342799257755
14,29,0.0672412967365492,-0.122995582142882,-0.461657440389957,-0.22385446668936,-0.857749999646855,0.0501894549694057,-0.355619977152281,0.0389238753933161,-0.812475972543543,0,-0.163000760076359,0.513596702204095,-0.0749870744434413,-1.0377113222211,-0.345292127319735,-0.267029286911388,0,0.113640926417118,-0.170762662721236,-1.49558165769349,-0.61943913762344,0.0768704934867124
15,31,0.0646004398517706,-0.155035822667884,-0.479929645504139,-0.235799884768784,-0.873122963142436,0.0232505244124783,-0.366689242889958,0.0123523772637362,-0.833184187419261,0,-0.15003653799671,0.535539672635759,-0.103158303088997,-0.9941338967688,-0.326069994453246,-0.286227920577801,0,0.128377263609449,-0.158930968119447,-1.50848762378085,-0.599065880855179,0.0937197419073912
16,35,0.0518773480703763,-0.132445144297235,-0.472212339447788,-0.235956806260635,-0.861661637937897,0.0710416688475539,-0.329871001747909,0.0195852435549391,-0.794897915101834,0,-0.189102897235885,0.500071724929405,-0.0592760476438152,-1.05522886387398,-0.37654840152634,-0.282715846963368,0,0.107148857249455,-0.182854493781412,-1.51044793684456,-0.646165755414725,0.0511767889149564
17,36,0.0621212332733214,-0.153362904662852,-0.48064360209233,-0.236717176470639,-0.895795559381497,0.0412785270694322,-0.353377838516168,0.0154559108512684,-0.830086410897773,0,-0.171615636758961,0.521327571775176,-0.0841721533951989,-1.01762247538709,-0.351001434119157,-0.281051674173276,0,0.111228436893396,-0.181671052590593,-1.50879809269205,-0.629373362100851,0.0691853036929455
18,38,0.0478205263125639,-0.126128835370667,-0.493003381827268,-0.251105707550076,-0.864611152613211,0.0586211967636001,-0.348175877882693,0.0277303158467492,-0.799595836050361,0,-0.203057010872469,0.499421902309733,-0.0850247867048495,-1.06383070290862,-0.376438140297217,-0.260015330788701,0,0.107492239009291,-0.189214334300667,-1.49980002162763,-0.64339456954447,0.0572666672505502
19,40,0.0640571877239147,-0.13468890747474,-0.491370196769351,-0.222144239020473,-0.891098275458349,0.0397250382195908,-0.358588944783238,0.0510111637083748,-0.844282268849365,0,-0.211281677642028,0.503614375802076,-0.104152610302269,-1.05221626822865,-0.379404507509019,-0.261558752723333,0,0.0927774664647059,-0.19092730597415,-1.48609045855814,-0.645915725966854,0.0675315724594525
20,41,-0.0431364808558894,-0.241526624924348,-0.373117276211019,-0.240300325452024,-0.860657083755323,0.00164382311200528,-0.449971239359815,0.000946215937334127,-0.920993227017483,0,-0.0476246127153725,0.450047898811757,-0.0112632020282635,-0.996179781426325,-0.326015999593638,-0.392584179751378,0,0.0746834229713174,-0.157762067045565,-1.44907266961636,-0.563589528614261,0.0747989013917292
