,SpeciesUID,A,R,N,D,C,E,Q,G,H,O,I,L,K,M,F,P,U,S,T,W,Y,V
29,53,-0.176359524496405,-0.381041304284407,-0.828234459948048,-0.520952501593759,-1.31651532631602,-0.151474729731412,-0.532587250268656,-0.250595644494038,-1.15587743536287,0,-0.642925484278129,0.185144869490303,-0.369529412618309,-1.32311189325197,-0.82624309247207,-0.27131437343125,0,0.0320415769580751,-0.422863708450772,-1.95168488729334,-1.12317095470172,-0.304266160467868
30,54,-0.200848286895587,-0.399850587785544,-0.826163761875051,-0.544038408769127,-1.28762572896209,-0.175789457132316,-0.551002147778908,-0.272548252500056,-1.1433813308115,0,-0.618352829272883,0.186490165266852,-0.367717638622375,-1.29964364574227,-0.796542012717085,-0.301714345023056,0,0.0261806103342326,-0.420073013968527,-1.96534271133858,-1.10725238882859,-0.306142300534526
31,55,-0.1761649513484,-0.378720972656653,-0.836172105174932,-0.523123762458889,-1.32434069454594,-0.157439453458377,-0.538786853455737,-0.248953633913706,-1.1599399057419,0,-0.654328669715771,0.180680943207249,-0.380023468336848,-1.33032542498316,-0.830596076082596,-0.271568790086401,0,0.0244355457406216,-0.428757564527615,-1.9567595392751,-1.12831994675283,-0.307222997731894
32,57,-0.177147430157496,-0.381201552415883,-0.847034333493911,-0.552207672396174,-1.28455109110252,-0.184276004526919,-0.58745407208897,-0.220199493598657,-1.16486066777268,0,-0.637046844271945,0.183449623846237,-0.390617020485732,-1.36077656956554,-0.790370423175702,-0.284793304886823,0,-0.0190816480520266,-0.457666331863256,-1.90860614525926,-1.10584078002713,-0.309063094510329
33,58,-0.185442473496723,-0.392989211440262,-0.834354374949399,-0.547180981895839,-1.2870285017018,-0.194750508099783,-0.582254844258855,-0.225235803561015,-1.16694708691106,0,-0.636607247189875,0.17543935749422,-0.389519140815834,-1.37075552050307,-0.795762108521532,-0.290584156385423,0,-0.0255518678295101,-0.45905043759472,-1.90061889500409,-1.10148371862919,-0.309397833974718
34,59,-0.204961564134724,-0.404750443980862,-0.830576141120722,-0.535270236679116,-1.30201716157211,-0.174517283441969,-0.557883831475931,-0.242028726792416,-1.16693338415742,0,-0.642947307421485,0.179324765290592,-0.384845829971532,-1.35016068240048,-0.818382526089539,-0.302226526172317,0,-0.0104413843245275,-0.450351754196135,-1.92888623170066,-1.11822112066719,-0.319893856832838
35,60,-0.213749062017705,-0.409391877906002,-0.807958748131698,-0.539730866976113,-1.31550187757079,-0.150586235552383,-0.553004744749161,-0.26545276692182,-1.15499878799372,0,-0.629710053360638,0.155523564615462,-0.341165939737154,-1.35538996926801,-0.839354343786032,-0.316032777261229,0,-0.00920709795026298,-0.451776093731128,-1.93617544796878,-1.13422536875025,-0.340795464649985
36,61,-0.166307633818296,-0.383214190527479,-0.860435598352867,-0.533665587356094,-1.31547803028427,-0.175562344311673,-0.570353148846919,-0.229570310204235,-1.17159788236019,0,-0.669271237516036,0.17114522214353,-0.385510316474525,-1.36717178033083,-0.833334941469946,-0.293496602215159,0,-0.0265516500690888,-0.4727268636114,-1.93495892928088,-1.12101182490158,-0.313760753448635
37,62,-0.226774504316885,-0.367682267977103,-0.822993336621744,-0.565188076190364,-1.2990774254724,-0.236972644615687,-0.643868870573239,-0.216909241293943,-1.21100008475645,0,-0.596941769229419,0.178266614427522,-0.406301524983935,-1.39079702280545,-0.765234840712266,-0.321418869750699,0,-0.041197229853875,-0.473023848516864,-1.86979010901151,-1.11201476872067,-0.294323662956967
38,63,-0.161023176904403,-0.384828079381318,-0.867760956400236,-0.570144145006268,-1.2887708909825,-0.211686272695522,-0.600899896432974,-0.238002672398232,-1.17069374462443,0,-0.656911504902809,0.171626715497032,-0.407260511873039,-1.37786487660596,-0.805941769813398,-0.303958321917472,0,-0.0322815865546882,-0.474625175143571,-1.91885985431599,-1.1175357935057,-0.309070088060774
